"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.770999989E-3,-1.599340366E0,9.775784433E-1,-3.051550752E-1,1.899123176E0
1.376199999E-2,-1.666795599E0,1.495911307E0,-1.687578358E0,2.804260851E0
2.375399999E-2,-1.416902121E0,1.654617603E0,-2.899927188E0,3.626975148E0
3.374499999E-2,-4.279249692E-1,1.218450691E0,-3.676430994E0,3.896650706E0
4.373700000E-2,6.221364364E-2,9.890755311E-1,-3.600901340E0,3.734786661E0
5.372800000E-2,-8.530576006E-1,9.862782231E-1,-2.642302959E0,2.946560186E0
6.372000001E-2,-1.323956681E0,-1.123650661E-1,-2.456526393E-1,1.351233666E0
7.371100000E-2,-3.681744944E0,-8.009087692E-1,6.643164960E0,7.637299350E0
8.370300001E-2,-8.801331326E-1,-2.334574670E0,7.435850351E0,7.843261035E0
9.369400001E-2,1.092490410E0,-4.031240332E0,4.001515135E0,5.784164355E0
1.036860000E-1,4.790373085E-1,-3.526778819E0,7.179187989E-1,3.630847419E0
1.136770000E-1,7.945711184E-1,-2.401877877E0,-2.892828083E-1,2.546378829E0
1.236690000E-1,1.133534283E0,-1.220741338E0,7.096882582E-1,1.810736538E0
1.336600000E-1,1.008558965E0,-5.999013025E-1,2.646208314E0,2.894735083E0
1.436520000E-1,8.661734169E-1,-4.701538165E-1,3.583219945E0,3.716283920E0
1.536430000E-1,4.053809562E-1,-2.304081441E-1,2.694939010E0,2.734980420E0
1.636350000E-1,4.728634527E-1,2.415136877E-1,9.849646461E-1,1.118965621E0
1.736260000E-1,1.178093648E0,9.095237236E-1,1.059866309E-1,1.492102950E0
1.836180000E-1,2.184066316E0,1.754171420E0,-2.898289382E-2,2.801446600E0
1.936090000E-1,2.571263967E0,2.214787880E0,-1.384497875E-1,3.396446979E0
2.036010000E-1,2.598531580E0,1.893647540E0,-3.781996626E-1,3.237483955E0
2.135920000E-1,2.047384873E0,1.044245546E0,-1.848786094E0,2.949617534E0
2.235840000E-1,-2.987626652E0,-6.332298470E-1,-3.334118618E0,4.521420131E0
