"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
"8.266500023E-3","-5.444115914E-1","-5.510220149E-1","-7.833052880E-1","1.101624444E0"
"1.828650001E-2","3.395697400E-2","-4.749874538E-1","-3.333503491E-1","5.812818702E-1"
"2.830650000E-2","-4.099105749E-1","-5.966542706E-1","-2.571897805E-1","7.682249548E-1"
"3.832649998E-2","-6.858921370E-1","-2.031743717E-1","-1.502173090E-1","7.309535477E-1"
"4.834649997E-2","-7.015635520E-1","-1.979384825E-1","-2.419349796E-1","7.680518177E-1"
"5.836650002E-2","-4.611603968E-1","-4.965958393E-1","-3.143264329E-1","7.470458122E-1"
"6.838550000E-2","-5.985823900E-2","-4.673468971E-1","-2.775702506E-1","5.468467565E-1"
"7.840549998E-2","-5.486347429E-2","-1.571424589E-1","-1.296877348E-1","2.110039378E-1"
"8.842550003E-2","-6.149520356E-1","-3.202838686E-1","2.239927983E-1","7.286429416E-1"
"9.844550001E-2","-1.125425803E0","-6.108852240E-1","3.471182030E-1","1.326746035E0"
"1.084655000E-1","-1.325452984E0","-5.753093022E-1","1.964886653E-1","1.458222960E0"
"1.184855000E-1","-1.283595106E0","-2.713792187E-1","-1.769379151E-1","1.323846706E0"
"1.285045000E-1","-1.326409734E0","3.304249871E-1","-1.188384016E0","1.811297884E0"
"1.385245000E-1","-1.351489027E0","1.062369795E0","-2.297477449E0","2.869417153E0"
"1.485445000E-1","-6.661072057E-1","3.391151190E-1","-2.228623561E0","2.350629884E0"
"1.585645000E-1","5.879609227E-1","-8.684232062E-1","-1.944107988E0","2.208939288E0"
"1.685845000E-1","9.455922733E-1","-1.715945248E0","-1.705758521E0","2.597734585E0"
"1.786045000E-1","4.220906905E-1","-1.602688774E0","-1.463415406E0","2.210962801E0"
"1.886245000E-1","-3.287094871E-1","-6.537818599E-1","-1.222732315E0","1.424975425E0"
"1.986435000E-1","-6.916522291E-1","5.550753048E-1","-7.330443764E-1","1.150584833E0"
"2.086635000E-1","-1.071912377E0","1.102508591E0","-2.970502496E-2","1.537986907E0"
"2.186835000E-1","-1.286374872E0","8.391891745E-1","3.055854303E-1","1.566008058E0"
"2.287035000E-1","-1.090071271E0","3.887015542E-1","2.553648645E-1","1.185139438E0"
"2.387235000E-1","-5.200933870E-1","1.039225638E-2","1.703656447E-1","5.473843102E-1"
"2.487435000E-1","-3.447189443E-2","-6.237283409E-2","8.487175047E-2","1.108237157E-1"
"2.587625000E-1","-2.136283162E-1","-6.703095996E-1","-2.380202687E-1","7.427015990E-1"
"2.687825000E-1","5.780187558E-1","-1.036192102E0","-5.913248259E-1","1.325694084E0"
"2.788025000E-1","1.535801304E0","-5.779180375E-1","-4.514734608E-1","1.701911628E0"
"2.888225000E-1","1.455072891E0","4.887257794E-1","-1.857578552E-1","1.546155227E0"
"2.988425000E-1","1.247592191E0","3.658950743E-1","-2.130719537E-1","1.317484398E0"
"3.088625000E-1","2.348466047E0","-4.084435084E-1","-5.621840572E-1","2.449116124E0"
"3.188815000E-1","2.181587681E0","-4.382537833E-1","-5.518754160E-1","2.292587548E0"
"3.289015000E-1","9.535748921E-1","-8.586539707E-1","-8.812280238E-2","1.286218234E0"
"3.389215000E-1","1.510002073E0","-4.428184122E-1","-1.493204631E0","2.169298153E0"
"3.489415000E-1","1.714946543E0","2.590813547E-2","-1.472065192E0","2.260240874E0"
"3.589615000E-1","1.117172677E0","3.507098553E-1","-2.310356526E0","2.590138890E0"
"3.689815000E-1","1.428543196E0","2.855341583E-2","-2.324040765E0","2.728134241E0"
