"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.689958322E-3,1.994267158E0,7.086600253E0,-3.608270001E0,8.198574086E0
1.770695834E-2,4.678924423E0,6.927223281E0,-1.740396842E0,8.538602773E0
2.772295836E-2,5.279694257E0,7.075797522E0,4.327500916E-1,8.839081098E0
3.773995832E-2,5.118168433E0,6.675334001E0,1.067759466E0,8.479141608E0
4.775695835E-2,2.512760820E0,3.978499909E0,7.485839367E-1,4.764746202E0
5.777295836E-2,-4.609178835E-1,-1.397472847E-1,-5.654678535E-1,7.427842838E-1
6.778995832E-2,-3.085351751E0,-4.285305068E0,-3.140857615E0,6.143958131E0
7.780595834E-2,-4.404505237E0,-6.235086610E0,-4.843237031E0,9.040625883E0
8.782295836E-2,-4.101887269E0,-6.120199347E0,-4.208308933E0,8.484820758E0
9.783995833E-2,-2.904713134E0,-6.153481699E0,-2.642515798E0,7.299697606E0
1.078559583E-1,-1.625064021E-1,-4.604777051E0,-3.610819387E-1,4.621770244E0
1.178729584E-1,2.005733255E0,-9.345476139E-1,2.537353624E0,3.366676187E0
1.278899583E-1,3.010149541E0,3.795246416E-1,5.527860614E0,6.305734072E0
1.379059583E-1,2.824584937E0,1.134095542E0,5.458948839E0,6.250166013E0
1.479229583E-1,1.584393713E0,1.298328043E0,1.246981888E0,2.398108207E0
1.579399583E-1,8.671523139E-1,-7.119382668E-1,-1.080143284E0,1.557407700E0
1.679559583E-1,1.059559915E0,-1.528807157E0,-6.561359489E-1,1.972418039E0
1.779729583E-1,3.436999208E-1,9.169182587E-1,4.016709709E-1,1.058398931E0
1.879889583E-1,5.770149350E-2,4.445787165E0,7.195074874E-1,4.504003108E0
1.980059583E-1,-1.577271804E-1,6.600504259E0,1.562335092E-1,6.604236765E0
2.080229583E-1,1.122622282E-1,7.780531434E0,-6.704242051E-1,7.810169065E0
2.180389583E-1,4.438052029E-1,7.654960139E0,-1.814592161E0,7.879601672E0
2.280559583E-1,3.273114909E-1,6.951784510E0,-2.699046679E0,7.464535730E0
2.380729583E-1,-2.354740986E-1,6.866926208E0,-2.546137896E0,7.327546778E0
2.480889583E-1,-2.672919601E-1,6.431794546E0,-2.940717949E0,7.077234497E0
2.581059583E-1,2.498373819E-1,4.405854775E0,-8.229468373E0,9.337993613E0
2.681229583E-1,7.810060166E-1,2.207720935E0,-1.803005903E1,1.818150244E1
2.781389583E-1,1.419699283E0,3.327132949E0,-9.388229225E0,1.006102419E1
2.881559583E-1,6.414265470E-1,-1.471549584E1,-4.306084903E0,1.534599665E1
2.981719584E-1,-1.058970399E1,-4.127724946E1,1.325670208E0,4.263461686E1
3.081889583E-1,-1.801439317E1,-4.553437328E1,1.077090335E1,5.013890576E1
3.182059583E-1,-1.245593408E1,-3.878217705E1,1.204561274E1,4.247710367E1
3.282219583E-1,-3.557944186E0,-1.944766150E1,3.164916569E0,2.002216776E1
3.382389583E-1,-4.433446616E-2,-6.343799797E0,5.320428300E-1,6.366225804E0
3.482559583E-1,1.316598106E0,-2.024674433E-1,7.084471866E-1,1.508748175E0
3.582719583E-1,3.842251014E0,1.999986904E0,1.300345917E0,4.522581118E0
3.682889583E-1,4.849397365E0,2.824307486E0,3.252199419E0,6.486152067E0
3.783059584E-1,3.056274425E0,2.653191644E0,-1.073318121E0,4.187153096E0
3.883219583E-1,7.799465011E-1,8.445677358E-1,7.315738016E-1,1.362648683E0
3.983389583E-1,2.229560870E0,3.829212892E-1,4.007438656E0,4.601862120E0
4.083549583E-1,1.944568748E0,1.161789125E0,4.849006771E0,5.352006002E0
4.183719583E-1,3.172194891E-1,1.491759199E0,5.152415575E0,5.373393710E0
4.283889583E-1,3.014166579E-3,1.915682918E0,4.507782561E0,4.897954037E0
4.384049583E-1,-5.201659656E-1,2.081649118E0,4.367218713E0,4.865843705E0
4.484219583E-1,-1.099579575E0,2.216522748E0,3.405678305E0,4.209595355E0
4.584389583E-1,-1.022575326E0,3.074706311E0,2.194199833E0,3.913309610E0
4.684549583E-1,-1.341238127E0,3.807606261E0,1.591731969E0,4.339400398E0
4.784719583E-1,-2.297921838E0,4.390989398E0,1.309236608E0,5.125947050E0
4.884889583E-1,-2.558717304E0,5.212009227E0,1.661996497E0,6.039396227E0
4.985049583E-1,-2.954377044E0,5.898588704E0,3.092319294E0,7.285885742E0
5.085219583E-1,-2.879614253E0,5.948597016E0,4.789172505E0,8.161749689E0
5.185389583E-1,-2.750476741E0,5.609176673E0,5.163199595E0,8.104727960E0
5.285549583E-1,-2.435400841E0,4.975686990E0,4.696112899E0,7.262376652E0
5.385719583E-1,-2.029669125E0,4.059608392E0,4.191739385E0,6.178240536E0
5.485879583E-1,-3.724528728E-1,3.613841228E0,3.638272650E0,5.141555936E0
5.586049584E-1,1.266319653E0,3.548245409E0,2.874964254E0,4.739095949E0
5.686219583E-1,2.191275495E0,2.644801474E0,2.063039477E0,4.006593942E0
5.786379583E-1,2.799077920E0,1.824381570E0,1.096162316E0,3.516358505E0
5.886549584E-1,3.465752306E0,9.420074916E-1,-5.755314964E-1,3.637314073E0
5.986719583E-1,4.276163532E0,-3.526444066E-1,-2.891155195E0,5.173848759E0
6.086879583E-1,4.516414513E0,-2.135016655E0,-4.787630010E0,6.919371162E0
6.187049584E-1,3.920201122E0,-3.418198655E0,-4.835252658E0,7.101529916E0
6.287219583E-1,3.266065506E0,-2.818936234E0,-3.754582832E0,5.719307443E0
6.387379583E-1,2.368909667E0,-1.312528006E0,-2.671691650E0,3.804260644E0
6.487549584E-1,1.128629492E0,-5.909365708E-1,-1.812411734E0,2.215366077E0
6.587709583E-1,8.524016161E-1,3.073232228E-1,-1.230409124E0,1.528051927E0
6.687879583E-1,5.275570654E-1,8.138815480E-1,-1.091112660E0,1.459878923E0
6.788049584E-1,3.542411350E-1,5.121722370E-1,-1.925084072E0,2.023303206E0
6.888209583E-1,1.835485944E-1,-3.077155709E-1,-2.670779484E0,2.694706294E0
6.988379583E-1,-2.317896584E-1,-1.157559249E0,-3.008065886E0,3.231428513E0
7.088549584E-1,-4.935695397E-1,-1.300786212E0,-3.082692438E0,3.382107084E0
7.188709583E-1,-4.939766521E-1,-7.464935571E-1,-2.934233971E0,3.067734435E0
7.288879583E-1,-4.236820833E-1,1.468528211E-1,-2.159671440E0,2.205731849E0
7.389049584E-1,-2.741814237E-1,1.702212185E0,-1.366680239E0,2.200117418E0
7.489209583E-1,-2.329766797E-1,2.657786386E0,-9.571839398E-1,2.834485439E0
7.589379583E-1,-7.537614269E-1,2.228955098E0,-1.584440491E-1,2.358283621E0
7.689549584E-1,-1.637320370E0,9.160546249E-1,2.217347791E0,2.904583498E0
7.789709583E-1,-3.161182829E0,-9.282449001E-1,3.478995372E0,4.791463688E0
7.889879583E-1,-4.361776417E0,-3.347188899E0,2.499520092E0,6.039566849E0
7.990039584E-1,-4.079323449E0,-5.722667035E0,-1.498588747E-1,7.029385142E0
8.090209583E-1,-2.081647949E0,-6.195943009E0,-7.860447085E-1,6.583375596E0
8.190379583E-1,-1.429661184E0,-5.499505711E0,-1.766555530E0,5.950564058E0
8.290539584E-1,-2.745336161E0,-3.880332175E0,-6.324482936E-1,4.795189180E0
8.390709583E-1,-3.740629914E0,9.875561321E-1,2.563421681E0,4.640981575E0
8.490879583E-1,-4.744437797E0,5.334630017E0,4.326872047E0,8.348041036E0
8.591039584E-1,-5.846716885E0,6.363646417E0,2.690971089E0,9.051045213E0
8.691209583E-1,-6.893366733E0,4.844775433E0,1.275436486E0,8.521566296E0
8.791379583E-1,-6.601829823E0,2.744352075E0,4.068181287E0,8.225917839E0
8.891539584E-1,-4.433583441E0,8.487414783E-1,6.805580145E0,8.166574884E0
8.991709583E-1,-2.785924024E0,-8.718830037E-1,7.056364886E0,7.636349785E0
9.091880833E-1,-1.849167624E0,-1.701769550E0,6.044222381E0,6.545843315E0
9.192040833E-1,-1.427826035E0,-1.746290835E0,4.718368863E0,5.229839730E0
9.292210834E-1,-1.381054157E0,-1.131678888E0,4.004583753E0,4.384597898E0
9.392370833E-1,-1.345764603E0,-5.980514628E-1,3.712501298E0,3.993922108E0
9.492540833E-1,-1.235106047E0,-5.258751869E-1,3.646212584E0,3.885472669E0
9.592710834E-1,-9.699908039E-1,-5.656210506E-1,3.367019731E0,3.549314187E0
9.692870833E-1,-8.684155317E-1,-9.037444818E-1,3.120998132E0,3.363261656E0
9.793040833E-1,-7.506156980E-1,-9.432313138E-1,3.065113953E0,3.293635193E0
9.893210834E-1,-5.499045389E-1,-9.597695786E-1,2.990833265E0,3.188829921E0
9.993370833E-1,7.540496215E-2,-1.275292352E0,2.853995554E0,3.126874976E0
1.009354083E0,1.017930079E0,-1.573048945E0,2.588551844E0,3.195507046E0
1.019371083E0,1.630367154E0,-1.466569394E0,3.428443269E-1,2.219564163E0
1.029387083E0,1.526333639E0,-1.240504342E0,-4.152308102E-1,2.010214423E0
1.039404083E0,6.593013391E-1,-1.704242338E0,2.725396571E0,3.281296493E0
1.049420083E0,9.817063583E-1,-1.561452162E0,2.199094537E0,2.870173691E0
1.059437083E0,1.331874250E0,-3.940982419E-1,4.048460090E-1,1.446755934E0
1.069454083E0,1.163319707E0,1.248713833E-1,-1.187011675E0,1.666704029E0
1.079470083E0,1.123868470E0,7.278526336E-1,-3.194224568E0,3.463512723E0
1.089487083E0,1.439629810E0,1.097638153E0,-3.373466286E0,3.828526908E0
1.099504083E0,1.842754837E0,1.077611439E0,-1.957256622E0,2.896177703E0
1.109520083E0,2.384658850E0,1.344513445E0,-1.049869325E0,2.931985647E0
1.119537083E0,2.931415321E0,1.628604510E0,-7.983373100E-1,3.447156929E0
1.129554083E0,3.366630891E0,1.687462583E0,-5.888392476E-1,3.811622382E0
1.139570083E0,3.884078486E0,1.557207084E0,-4.437581328E-1,4.208073296E0
1.149587083E0,4.256103196E0,1.633755907E0,-6.623298313E-1,4.606761725E0
1.159604083E0,3.849495421E0,1.767668256E0,-9.148992151E-1,4.333625115E0
1.169620083E0,2.957293343E0,1.666599718E0,-9.553395818E-1,3.526444704E0
1.179637083E0,1.631723561E0,1.135434555E0,-7.546093462E-1,2.126303994E0
1.189653083E0,1.018102352E0,6.967431074E-1,-5.533288877E-1,1.352093272E0
1.199670083E0,9.780984800E-1,6.309221703E-1,-6.036611353E-1,1.311162152E0
1.209687083E0,8.697136136E-1,7.314445782E-1,-7.622583814E-1,1.368375234E0
1.219703083E0,1.256448238E0,7.771598643E-1,-1.249189358E0,1.934712816E0
1.229720083E0,8.554072311E-1,3.961564618E-1,-1.992988957E0,2.204691918E0
1.239737083E0,6.477948958E-1,7.019740266E-1,-2.591485392E0,2.761920039E0
1.249753083E0,7.743071540E-1,8.735477060E-1,-2.595277897E0,2.845716873E0
1.259770083E0,1.073468321E0,7.243454736E-1,-2.257613472E0,2.602658101E0
1.269787083E0,1.104816926E0,2.924683714E-1,-2.060590956E0,2.356309248E0
1.279803083E0,1.538622147E0,-1.574532384E-1,-2.117673814E0,2.622344755E0
1.289820083E0,1.893888007E0,-3.790627116E-1,-2.103246394E0,2.855546483E0
1.299836083E0,2.056087576E0,-7.005133921E-1,-1.880903241E0,2.873327711E0
1.309853083E0,2.253016683E0,-1.171671504E0,-1.533666193E0,2.966653044E0
1.319870083E0,2.203666183E0,-1.676034200E0,-1.538908953E0,3.167566267E0
1.329886083E0,2.409762701E0,-1.780742045E0,-2.008883735E0,3.607438477E0
1.339903083E0,2.717072767E0,-1.781544868E0,-2.614560844E0,4.170409446E0
